"Sample ID","Species","Data source","Biosample type","Tissue type","Biosample name"
"Sample_01_0058","Human","ENCODE","Cell line","Prostate","PC-3"
"Sample_01_0059","Human","ENCODE","Cell line","Lung","PC-9"
"Sample_01_0060","Human","ENCODE","In vitro differentiated cell","Embryo","radial-glial-cell"
"Sample_01_0061","Human","ENCODE","Cell line","Prostate","RWPE1"
"Sample_01_0062","Human","ENCODE","Cell line","Prostate","RWPE2"
"Sample_01_0063","Human","ENCODE","Primary cell","Skeletal muscle","skeletal-muscle-myoblast"
"Sample_01_0064","Human","ENCODE","Cell line","Brain: derived from metastatic site: supra-orbital area","SK-N-MC"
"Sample_01_0066","Human","ENCODE","In vitro differentiated cell","Smooth muscle","smooth-muscle-cell"
"Sample_01_0067","Human","ENCODE","Cell line","Peritoneal effusion: derived from metastatic site: peritoneal cavity","SUDHL6"
"Sample_01_0068","Human","ENCODE","Cell line","Prostate: derived from metastatic site: vertebral metastasis","VCaP"
"Sample_01_0069","Human","ENCODE","Tissue","Adrenal gland","adrenal-gland"
"Sample_01_0070","Human","ENCODE","Tissue","Ascending aorta","ascending-aorta"
"Sample_01_0071","Human","ENCODE","Tissue","Pancreas","body-of-pancreas"
"Sample_01_0072","Human","ENCODE","Tissue","Breast epithelium","breast-epithelium"
"Sample_01_0073","Human","ENCODE","Tissue","Coronary artery","coronary-artery"
"Sample_01_0074","Human","ENCODE","Tissue","Esophagus muscularis mucosa","esophagus-muscularis-mucosa"
"Sample_01_0075","Human","ENCODE","Tissue","Esophagus squamous epithelium","esophagus-squamous-epithelium"
"Sample_01_0076","Human","ENCODE","Tissue","Gastrocnemius medialis","gastrocnemius-medialis"
"Sample_01_0077","Human","ENCODE","Tissue","Gastroesophageal sphincter","gastroesophageal-sphincter"
"Sample_01_0078","Human","ENCODE","Tissue","Heart left ventricle","heart-left-ventricle"
"Sample_01_0079","Human","ENCODE","Tissue","Peyers patch","Peyers-patch"
"Sample_01_0080","Human","ENCODE","Tissue","Prostate","prostate"
"Sample_01_0081","Human","ENCODE","Tissue","Right atrium auricular region","right-atrium-auricular-region"
"Sample_01_0082","Human","ENCODE","Tissue","Right lobe of liver","right-lobe-of-liver"
"Sample_01_0083","Human","ENCODE","Tissue","Sigmoid colon","sigmoid-colon"
"Sample_01_0084","Human","ENCODE","Tissue","Spleen","spleen"
"Sample_01_0085","Human","ENCODE","Tissue","Stomach","stomach"
"Sample_01_0086","Human","ENCODE","Tissue","Thoracic aorta","thoracic-aorta"
"Sample_01_0087","Human","ENCODE","Tissue","Thyroid gland","thyroid-gland"
"Sample_01_0088","Human","ENCODE","Tissue","Tibial nerve","tibial-nerve"
"Sample_01_0089","Human","ENCODE","Tissue","Transverse colon","transverse-colon"
"Sample_01_0090","Human","ENCODE","Tissue","Lung","upper-lobe-of-left-lung"
"Sample_01_0091","Human","ENCODE","Tissue","Uterus","uterus"
"Sample_01_0092","Human","ENCODE","Tissue","Vagina","vagina"
"Sample_01_0093","Human","ENCODE","Tissue","Aorta","ascending aorta"
"Sample_01_0094","Human","ENCODE","Tissue","Gastrocnemius medialis","gastrocnemius medialis_54y"
"Sample_01_0095","Human","ENCODE","In vitro differentiated cell","Embryo","neuroepithelial stem cell stably expressing HES5 originated from H9"
"Sample_01_0096","Human","ENCODE","Cell line","B-cell lymphoma","DOHH2"
"Sample_01_0097","Human","ENCODE","Tissue","Gastrocnemius medialis","gastrocnemius medialis_53y"
"Sample_01_0098","Human","ENCODE","Tissue","Heart","left ventricle_51y"
"Sample_01_0099","Human","ENCODE","Tissue","Colon","transverse colon"
"Sample_01_0100","Human","ENCODE","Tissue","Thyroid gland","thyroid gland_37y"
"Sample_01_0101","Human","ENCODE","Tissue","Pancreas","pancreas_54y"
"Sample_01_0102","Human","ENCODE","Tissue","Artery","tibial artery"
"Sample_01_0103","Human","ENCODE","Tissue","Pancreas","pancreas_37y"
"Sample_01_0104","Human","ENCODE","Tissue","Lung","upper lobe of left lung"
"Sample_01_0105","Human","ENCODE","Tissue","Thyroid gland","thyroid gland_54y"
"Sample_01_0106","Human","ENCODE","Tissue","Adrenal gland","adrenal gland 54y"
"Sample_01_0107","Human","ENCODE","Tissue","Esophagus","esophagus squamous epithelium"
"Sample_01_0108","Human","ENCODE","Tissue","Adrenal gland","adrenal gland_37y"
"Sample_01_0109","Human","ENCODE","Tissue","Colon","transverse colon_54y"
"Sample_01_0110","Human","ENCODE","Tissue","Aorta","thoracic aorta_37y"
"Sample_01_0111","Human","ENCODE","Cell line","Brain","SK-N-SH"
"Sample_01_0112","Human","ENCODE","Cell line","Embryonic kidney","HEK293_encode"
"Sample_01_0113","Human","ENCODE","Cell line","Mammary gland","MCF-7"
"Sample_01_0114","Human","ENCODE","Cell line","Colon","HCT116_encode"
"Sample_01_0115","Human","ENCODE","In vitro differentiated cell","Skeletal Muscle","myotube originated from skeletal muscle myoblast"
"Sample_01_0116","Human","ENCODE","Stem cell","Embryo","H1-hESC"
"Sample_01_0117","Human","ENCODE","Primary cell","Lung","fibroblast of lung"
"Sample_02_0002","Human","NCBI GEO/SRA","Cell line","Mammary gland","MCF-7_10Gygamma_2.5h"
"Sample_02_0003","Human","NCBI GEO/SRA","Cell line","Mammary gland","MCF-7_10Gygamma_5h"
"Sample_02_0004","Human","NCBI GEO/SRA","Cell line","Mammary gland","MCF-7_10Gygamma_7.5h"
"Sample_02_0005","Human","NCBI GEO/SRA","Other","Cervical","cervical-cancer_KDM5C"
"Sample_02_0006","Human","NCBI GEO/SRA","Other","Cervical","cervical-cancer_parental"
"Sample_02_0007","Human","NCBI GEO/SRA","Other","Cervical","cervical-cancer_vector"
"Sample_02_0008","Human","NCBI GEO/SRA","Cell line","Kidney","786-O_empty_vector"
"Sample_02_0009","Human","NCBI GEO/SRA","Cell line","Kidney","786-O_wtVHL"
"Sample_02_0010","Human","NCBI GEO/SRA","Cell line","Kidney","A-498_emptyvector"
"Sample_02_0011","Human","NCBI GEO/SRA","Cell line","Kidney","A-498_wtVHL"
"Sample_02_0012","Human","NCBI GEO/SRA","Cell line","Kidney","786-O_non-targeting"
"Sample_02_0013","Human","NCBI GEO/SRA","Cell line","Kidney","786-O_HIF2A"
"Sample_02_0014","Human","NCBI GEO/SRA","Cell line","Liver","HepG2_shBRG1"
"Sample_02_0015","Human","NCBI GEO/SRA","Cell line","Liver","HepG2_shNS"
"Sample_02_0016","Human","NCBI GEO/SRA","Primary cell","Blood","erythroblasts"
"Sample_02_0017","Human","NCBI GEO/SRA","Stem cell","Embryo","H9_ESC"
"Sample_02_0018","Human","NCBI GEO/SRA","Cell line","Embryo","NEC"
"Sample_02_0019","Human","NCBI GEO/SRA","Other","Embryo","Neural crest cells"
"Sample_02_0021","Human","NCBI GEO/SRA","Cell line","Colon","V429"
"Sample_02_0022","Human","NCBI GEO/SRA","Primary cell","Blood","CD8donorA"
"Sample_02_0023","Human","NCBI GEO/SRA","Primary cell","Blood","CD8donorC"
"Sample_02_0024","Human","NCBI GEO/SRA","Primary cell","Blood","CD56+ Natural Killer cells donor A"
"Sample_02_0025","Human","NCBI GEO/SRA","Primary cell","Blood","CD19donorA"
"Sample_02_0026","Human","NCBI GEO/SRA","Primary cell","Blood","CD4donorE"
"Sample_02_0027","Human","NCBI GEO/SRA","Cell line","Umbilical vein","HUVEC_VEGF_4h"
"Sample_02_0029","Human","NCBI GEO/SRA","Cell line","Colorectal","LS174T"
"Sample_02_0030","Human","NCBI GEO/SRA","Other","Kidney","human kidney proximal tubule cells"
"Sample_02_0031","Human","NCBI GEO/SRA","Cell line","Haematopoietic and lymphoid tissue blood","Jurkat"
"Sample_02_0032","Human","NCBI GEO/SRA","Tissue","Pancreas","pancreatic-islets-M"
"Sample_02_0033","Human","NCBI GEO/SRA","Tissue","Pancreas","pancreatic-islets-F"
"Sample_02_0034","Human","NCBI GEO/SRA","Cell line","Peripheral blood","CUTLL1_GSI"
"Sample_02_0035","Human","NCBI GEO/SRA","Cell line","Peripheral blood","CUTLL1_GSI_wash"
"Sample_02_0036","Human","NCBI GEO/SRA","Stem cell","Embryo","H7"
"Sample_02_0038","Human","NCBI GEO/SRA","Stem cell","Embryo","DE"
"Sample_02_0039","Human","NCBI GEO/SRA","Stem cell","Embryo","AFG"
"Sample_02_0040","Human","NCBI GEO/SRA","Stem cell","Embryo","PFG"
"Sample_02_0041","Human","NCBI GEO/SRA","Cell line","Burkitts lymphoma of the left maxilla","Raji_B"
"Sample_02_0042","Human","NCBI GEO/SRA","Cell line","Embryo endodermal","CyT49_ES_D0"
"Sample_02_0043","Human","NCBI GEO/SRA","Cell line","Embryo endodermal","CyT49_ES_D2"
"Sample_02_0044","Human","NCBI GEO/SRA","Cell line","Embryo endodermal","CyT49_ES_D5"
"Sample_02_0045","Human","NCBI GEO/SRA","Cell line","Embryo endodermal","CyT49_ES_D7"
"Sample_02_0046","Human","NCBI GEO/SRA","Cell line","Embryo endodermal","CyT49_ES_D10"
"Sample_02_0047","Human","NCBI GEO/SRA","Cell line","Pancreatic endoderm","IIDP/donor790"
"Sample_02_0048","Human","NCBI GEO/SRA","Cell line","Embryo endodermal","CyT49_HE"
"Sample_02_0049","Human","NCBI GEO/SRA","Cell line","Embryo endodermal","CyT49_GTtoH"
"Sample_02_0050","Human","NCBI GEO/SRA","Cell line","Skin","BJ"
"Sample_02_0051","Human","NCBI GEO/SRA","Cell line","Mammary gland","MCF-7_EtOH"
"Sample_02_0052","Human","NCBI GEO/SRA","Cell line","Mammary gland","MCF-7_E2"
"Sample_02_0053","Human","NCBI GEO/SRA","Cell line","Colon","DKO1"
"Sample_02_0054","Human","NCBI GEO/SRA","Cell line","Lung","IMR-90_DMSO_1"
"Sample_02_0055","Human","NCBI GEO/SRA","Cell line","Lung","IMR-90_Nutlin-3a"
"Sample_02_0056","Human","NCBI GEO/SRA","Cell line","Mammary gland","HMEC"
"Sample_02_0057","Human","NCBI GEO/SRA","Cell line","Mammary gland","vHMEC"
"Sample_02_0058","Human","NCBI GEO/SRA","Cell line","Haematopoietic and lymphoid tissue blood","WT/Jurkat-11bp"
"Sample_02_0059","Human","NCBI GEO/SRA","Cell line","Haematopoietic and lymphoid tissue blood","WT/Jurkat"
"Sample_02_0060","Human","NCBI GEO/SRA","Cell line","Haematopoietic and lymphoid tissue blood","WT-11bp/Jurkat"
"Sample_02_0061","Human","NCBI GEO/SRA","Cell line","Adipose","hMADS-3_white"
"Sample_02_0062","Human","NCBI GEO/SRA","Cell line","Adipose","hMADS-3_brite"
"Sample_02_0063","Human","NCBI GEO/SRA","Primary cell","Skin","Keratinocytes"
"Sample_02_0064","Human","NCBI GEO/SRA","Cell line","Embryo","DN-Early_G1"
"Sample_02_0065","Human","NCBI GEO/SRA","Cell line","Embryo","KO2-Late_G1"
"Sample_02_0066","Human","NCBI GEO/SRA","Cell line","Embryo","AzL-S_phase"
"Sample_02_0067","Human","NCBI GEO/SRA","Cell line","Embryo","AzH-G2/M"
"Sample_02_0068","Human","NCBI GEO/SRA","Cell line","Skin","A375_DMSO"
"Sample_02_0069","Human","NCBI GEO/SRA","Cell line","Brain","SF268"
"Sample_02_0070","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H69_DMSO"
"Sample_02_0071","Human","NCBI GEO/SRA","Cell line","Lung","GLC16_DMSO"
"Sample_02_0072","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H82_DMSO"
"Sample_02_0073","Human","NCBI GEO/SRA","Cell line","Other","90-8TL_DMSO"
"Sample_02_0074","Human","NCBI GEO/SRA","Cell line","Other","90-8TL_PDJQ"
"Sample_02_0075","Human","NCBI GEO/SRA","Cell line","Autonomic ganglia","kelly_DMSO_3h"
"Sample_02_0076","Human","NCBI GEO/SRA","Cell line","Autonomic ganglia","SH-SY5Y_DMSO_3h"
"Sample_02_0077","Human","NCBI GEO/SRA","Primary cell","Neuroblastoma","high-MYCN-Neuroblastoma-patient-cells"
"Sample_02_0078","Human","NCBI GEO/SRA","Primary cell","Neuroblastoma","low-MYCN-Neuroblastoma-patient-cells"
"Sample_02_0079","Human","NCBI GEO/SRA","Cell line","Mammary gland","T-47D_1"
"Sample_02_0080","Human","NCBI GEO/SRA","Cell line","Lung","Calu-3"
"Sample_02_0081","Human","NCBI GEO/SRA","In vitro differentiated cell","Blood","Monocyte-derived_dendritic_cells"
"Sample_02_0082","Human","NCBI GEO/SRA","Cell line","Oral cavity","KB_IL-1alpha"
"Sample_02_0083","Human","NCBI GEO/SRA","Cell line","Oral cavity","KB_untreat"
"Sample_02_0084","Human","NCBI GEO/SRA","Cell line","Oral cavity","KB_5Z-7-oxozeaenol"
"Sample_02_0085","Human","NCBI GEO/SRA","Cell line","Oral cavity","KB_IL-1alpha_5Z-7-oxozeaenol"
"Sample_02_0086","Human","NCBI GEO/SRA","Cell line","Pancreas","CAPAN1"
"Sample_02_0087","Human","NCBI GEO/SRA","Cell line","Pancreas","MiaPaca2"
"Sample_02_0088","Human","NCBI GEO/SRA","Stem cell","Umbilical cord","umbilical-cord-derived-mesenchymal-stem-cells_SGA_cycle_0"
"Sample_02_0089","Human","NCBI GEO/SRA","Stem cell","Umbilical cord","umbilical-cord-derived-mesenchymal-stem-cells_SGA_cycle_3"
"Sample_02_0090","Human","NCBI GEO/SRA","Stem cell","Umbilical cord","umbilical-cord-derived-mesenchymal-stem-cells_SGA_cycle_6"
"Sample_02_0091","Human","NCBI GEO/SRA","Stem cell","Umbilical cord","umbilical-cord-derived-mesenchymal-stem-cells_Control_cycle_0"
"Sample_02_0092","Human","NCBI GEO/SRA","Stem cell","Umbilical cord","umbilical-cord-derived-mesenchymal-stem-cells_Control_cycle_3"
"Sample_02_0093","Human","NCBI GEO/SRA","Stem cell","Umbilical cord","umbilical-cord-derived-mesenchymal-stem-cells_Control_cycle_6"
"Sample_02_0095","Human","NCBI GEO/SRA","Cell line","Mammary gland","MDA-MB-468"
"Sample_02_0096","Human","NCBI GEO/SRA","Cell line","Mammary gland","ZR-75-1_1"
"Sample_02_0097","Human","NCBI GEO/SRA","Stem cell","Foreskin","Epidermal-Stem-Cells_shCTRL"
"Sample_02_0099","Human","NCBI GEO/SRA","Stem cell","Foreskin","Epidermal-Stem-Cells_shDNMT3B"
"Sample_02_0100","Human","NCBI GEO/SRA","Primary cell","Peripheral blood","Macrophages_GM-CSF_72h"
"Sample_02_0101","Human","NCBI GEO/SRA","Primary cell","Peripheral blood","Macrophages_GM-CSF_72h_IFN-y"
"Sample_02_0102","Human","NCBI GEO/SRA","Primary cell","Peripheral blood","Macrophages_GM-CSF_72h_IL4"
"Sample_02_0103","Human","NCBI GEO/SRA","Primary cell","Peripheral blood","Macrophages_GM-CSF_72h_TNF-a_PGE2_Pam3CSK4"
"Sample_02_0104","Human","NCBI GEO/SRA","Primary cell","Blood","neutrophils"
"Sample_02_0105","Human","NCBI GEO/SRA","Primary cell","Skin","neonatal_keratinocytes"
"Sample_02_0106","Human","NCBI GEO/SRA","Other","Skin","NHEK_M"
"Sample_02_0107","Human","NCBI GEO/SRA","Cell line","Endometrium","EEC16"
"Sample_02_0108","Human","NCBI GEO/SRA","Cell line","Fallopian tube","FT246"
"Sample_02_0110","Human","NCBI GEO/SRA","Cell line","Ovaries","IOE11"
"Sample_02_0111","Human","NCBI GEO/SRA","Cell line","Ovaries","IOE4"
"Sample_02_0112","Human","NCBI GEO/SRA","Cell line","Connective tissue","HT1080_untreated"
"Sample_02_0113","Human","NCBI GEO/SRA","Cell line","Connective tissue","HT1080_DOX5d"
"Sample_02_0114","Human","NCBI GEO/SRA","Cell line","Mammary gland","CAL51"
"Sample_02_0115","Human","NCBI GEO/SRA","Cell line","Mammary gland","MCF-7"
"Sample_02_0116","Human","NCBI GEO/SRA","Cell line","Mammary gland","MDA-MB-231_untreat"
"Sample_02_0117","Human","NCBI GEO/SRA","Cell line","Haematopoietic and lymphoid tissue","KARPAS-422"
"Sample_02_0118","Human","NCBI GEO/SRA","Cell line","Haematopoietic and lymphoid tissue","MINO"
"Sample_02_0119","Human","NCBI GEO/SRA","Cell line","Haematopoietic and lymphoid tissue","PFEIFFER"
"Sample_02_0120","Human","NCBI GEO/SRA","Cell line","Haematopoietic and lymphoid tissue","REC-1"
"Sample_02_0121","Human","NCBI GEO/SRA","Cell line","Haematopoietic and lymphoid tissue","SUDHL-4"
"Sample_02_0122","Human","NCBI GEO/SRA","Cell line","Haematopoietic and lymphoid tissue","TOLEDO"
"Sample_02_0123","Human","NCBI GEO/SRA","Cell line","Haematopoietic and lymphoid tissue","GRANTA-519"
"Sample_02_0124","Human","NCBI GEO/SRA","Stem cell","Embryo","Embryonic-stem-cells_Naive"
"Sample_02_0125","Human","NCBI GEO/SRA","Stem cell","Embryo","Embryonic-stem-cells_Primed"
"Sample_02_0126","Human","NCBI GEO/SRA","Primary cell","Blood","Induced-regulatory-T-cells_DMSO"
"Sample_02_0127","Human","NCBI GEO/SRA","Primary cell","Blood","Induced-regulatory-T-cells_CPI-703"
"Sample_02_0128","Human","NCBI GEO/SRA","Cell line","Haematopoietic and lymphoid tissue","ALL-SIL"
"Sample_02_0131","Human","NCBI GEO/SRA","Cell line","Lung","1015_PT"
"Sample_02_0132","Human","NCBI GEO/SRA","Cell line","Lung","1015_CL"
"Sample_02_0133","Human","NCBI GEO/SRA","Cell line","Thymus","TC-797_JQ1_4h"
"Sample_02_0134","Human","NCBI GEO/SRA","Cell line","Kidney","293Trex_B4Nflag_No"
"Sample_02_0135","Human","NCBI GEO/SRA","Cell line","Kidney","293Trex_B4Nflag_2h"
"Sample_02_0136","Human","NCBI GEO/SRA","Cell line","Kidney","293Trex_B4Nflag_7h"
"Sample_02_0138","Human","NCBI GEO/SRA","Tissue","Brain","RT172"
"Sample_02_0139","Human","NCBI GEO/SRA","Tissue","Liver","RT236"
"Sample_02_0140","Human","NCBI GEO/SRA","Tissue","Kidney","RT242"
"Sample_02_0141","Human","NCBI GEO/SRA","Cell line","Colon","HCT116_Heterozygous_ARID1A-KO"
"Sample_02_0142","Human","NCBI GEO/SRA","Cell line","Colon","HCT116_Homozygous_ARID1A-KO"
"Sample_02_0143","Human","NCBI GEO/SRA","Cell line","Colon","HCT116_Parental"
"Sample_02_0144","Human","NCBI GEO/SRA","Cell line","Peripheral blood","MV411_DMSO"
"Sample_02_0146","Human","NCBI GEO/SRA","Cell line","Bone marrow","LP-1_SGC-CBP30"
"Sample_02_0147","Human","NCBI GEO/SRA","Primary cell","Blood","CD4_T_cells"
"Sample_02_0148","Human","NCBI GEO/SRA","Primary cell","Blood","CD8_T_cells"
"Sample_02_0150","Human","NCBI GEO/SRA","Cell line","Mammary gland","MDA-MB-231_GATA3"
"Sample_02_0151","Human","NCBI GEO/SRA","Cell line","Mammary gland","MDA-MB-231_TA1del"
"Sample_02_0152","Human","NCBI GEO/SRA","Cell line","Brain","U87_EGFRvIII_shFOXG1_FBS"
"Sample_02_0154","Human","NCBI GEO/SRA","Cell line","Brain","U87_EGFRvIII_shSCR_FBS"
"Sample_02_0155","Human","NCBI GEO/SRA","Cell line","Brain","U87_EGFRvIII_shSOX9_FBS"
"Sample_02_0157","Human","NCBI GEO/SRA","Cell line","Brain","U87_EGFRvIII_FBS"
"Sample_02_0158","Human","NCBI GEO/SRA","Cell line","Brain","U87_EGFRvIII_erlotinib"
"Sample_02_0160","Human","NCBI GEO/SRA","Cell line","Brain","U87_FBS"
"Sample_02_0161","Human","NCBI GEO/SRA","Cell line","Brain","U87"
"Sample_02_0162","Human","NCBI GEO/SRA","Cell line","Prostate","C4-2B_vehicle_24h"
"Sample_02_0163","Human","NCBI GEO/SRA","Cell line","Prostate","C4-2B_SR2211_24h"
